Timestamp,How many hours do you play a week?,Which game mode do you usually play the most?,What is your average rank?,What are your most-played hero categories?,Who is your favourite hero to play?,Who is the least fun hero to play against?,Who is your most played hero?,Who is your 2nd most played hero?,Who is your 3rd most played hero?,I enjoy playing as Ashe,I enjoy playing against Ashe,How do you rate Ashe in terms of balance?,I enjoy playing as Bastion,I enjoy playing against Bastion,How do you rate Bastion in terms of balance?,I enjoy playing as Doomfist,I enjoy playing against Doomfist,How do you rate Doomfist in terms of balance?,I enjoy playing as Genji,I enjoy playing against Genji,How do you rate Genji in terms of balance?,I enjoy playing as Hanzo,I enjoy playing against Hanzo,How do you rate Hanzo in terms of balance?,I enjoy playing as Junkrat,I enjoy playing against Junkrat,How do you rate Junkrat in terms of balance?,I enjoy playing as McCree,I enjoy playing against McCree,How do you rate McCree in terms of balance?,I enjoy playing as Mei,I enjoy playing against Mei,How do you rate Mei in terms of balance?,I enjoy playing as Pharah,I enjoy playing against Pharah,How do you rate Pharah in terms of balance?,I enjoy playing as Reaper,I enjoy playing against Reaper,How do you rate Reaper in terms of balance?,I enjoy playing as Soldier: 76,I enjoy playing against Soldier: 76,How do you rate Soldier: 76 in terms of balance?,I enjoy playing as Sombra,I enjoy playing against Sombra,How do you rate Sombra in terms of balance?,I enjoy playing as Symmetra,I enjoy playing against Symmetra,How do you rate Symmetra in terms of balance?,I enjoy playing as Torbjorn,I enjoy playing against Torbjorn,How do you rate Torbjorn in terms of balance?,I enjoy playing as Tracer,I enjoy playing against Tracer,How do you rate Tracer in terms of balance?,I enjoy playing as Widowmaker,I enjoy playing against Widowmaker,How do you rate Widowmaker in terms of balance?,I enjoy playing as Ana,I enjoy playing against Ana,How do you rate Ana in terms of balance?,I enjoy playing as Baptiste,I enjoy playing against Baptiste,How do you rate Baptiste in terms of balance?,I enjoy playing as Brigitte,I enjoy playing against Brigitte,How do you rate Brigitte in terms of balance?,I enjoy playing as Lucio,I enjoy playing against Lucio,How do you rate Lucio in terms of balance?,I enjoy playing as Mercy,I enjoy playing against Mercy,How do you rate Mercy in terms of balance?,I enjoy playing as Moira,I enjoy playing against Moira,How do you rate Moira in terms of balance?,I enjoy playing as Zenyatta,I enjoy playing against Zenyatta,How do you rate Zenyatta in terms of balance?,I enjoy playing as D.va,I enjoy playing against D.va,How do you rate D.va in terms of balance?,I enjoy playing as Orisa,I enjoy playing against Orisa,How do you rate Orisa in terms of balance?,I enjoy playing as Reinhardt,I enjoy playing against Reinhardt,How do you rate Reinhardt in terms of balance?,I enjoy playing as Roadhog,I enjoy playing against Roadhog,How do you rate Roadhog in terms of balance?,I enjoy playing as Sigma,I enjoy playing against Sigma,How do you rate Sigma in terms of balance?,I enjoy playing as Winston,I enjoy playing against Winston,How do you rate Winston in terms of balance?,I enjoy playing as Wrecking Ball,I enjoy playing against Wrecking Ball,How do you rate Wrecking Ball in terms of balance?,I enjoy playing as Zarya,I enjoy playing against Zarya,How do you rate Zarya in terms of balance?
9/25/2019 1:17:26,20+,Quick Play,Masters,"Damage, Support, Tank",Tracer,Doomfist,Tracer,Ana,Wrecking Ball,4,4,3,2,1,5,3,1,5,5,5,2,3,2,4,1,1,3,5,4,4,3,2,4,4,4,3,3,2,5,5,5,1,2,1,1,2,1,5,2,3,4,5,4,1,3,2,4,5,5,2,4,2,4,1,3,3,4,5,3,1,4,3,3,1,4,5,5,3,4,5,3,1,1,5,3,5,1,4,4,3,3,1,5,5,5,1,5,4,3,5,5,4
9/25/2019 22:39:39,10-20,Quick Play,Diamond,Tank,Sigma,Doomfist,Zarya,Sigma,Roadhog,1,5,3,1,1,5,1,1,5,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,1,1,4,4,3,5,4,3,3,4,3,3,4,2,4,1,3,3,4,3,3,1,1,4,4,3,3,3,3,3,1,3,3,4,3,3,1,3,3,4,3,4,3,3,3,4,3,3,4,3,4,3,3,3,4,3,3,5,3,4,5,3,1,2,5,3,5,3,3
9/26/2019 0:54:18,10-20,Competitive,Platinum,"Support, Tank",Genji,Doomfist,Reinhardt,Zarya,Zenyatta,4,4,3,2,3,3,2,1,5,5,5,3,4,3,4,4,3,3,5,5,3,4,1,3,3,3,3,3,2,4,4,4,3,3,1,3,3,2,4,3,2,3,4,4,3,2,1,4,5,5,4,5,4,3,3,2,2,4,4,3,3,3,3,3,2,3,5,5,3,4,4,3,1,1,5,5,5,2,3,3,2,3,3,5,5,4,2,5,4,3,5,5,2
9/26/2019 0:56:49,20+,Competitive,t500,Tank,D.va,Baptiste,D.va,Wrecking Ball,Roadhog,1,2,1,3,1,1,3,1,4,1,4,2,2,4,5,4,2,3,1,5,3,5,5,2,3,4,3,4,5,5,3,2,1,5,3,1,5,1,2,3,3,2,2,5,2,4,3,3,4,4,4,3,1,4,5,4,3,2,5,3,3,4,2,1,4,2,5,5,2,5,5,2,3,1,5,4,5,3,4,2,2,3,1,4,4,5,1,5,5,3,5,5,3
9/26/2019 0:57:51,10-20,Quick Play,Masters,Support,Zenyatta,Doomfist,Zenyatta,Ana,D.va,4,3,3,2,2,3,1,1,5,2,4,3,5,2,4,2,2,3,4,3,3,2,1,4,4,3,3,1,1,4,4,3,2,2,2,3,2,1,4,1,2,3,4,3,3,4,2,3,5,5,3,5,2,3,1,1,3,2,1,3,2,4,3,2,1,4,5,5,2,5,5,2,1,1,4,2,4,2,4,3,3,4,2,4,4,3,3,3,2,3,4,3,3
9/26/2019 0:57:59,20+,Competitive,Masters,Support,Moira,Doomfist,Moira,Mercy,Brigette,3,2,3,4,1,5,1,1,5,2,1,4,4,1,4,5,1,3,3,1,5,5,1,5,4,3,3,3,2,4,2,3,3,4,2,4,4,1,4,2,3,2,3,2,4,2,1,5,3,1,5,5,2,3,1,1,1,2,1,3,3,3,1,5,2,3,1,1,3,5,3,3,4,2,4,3,2,3,4,1,3,5,2,4,5,1,3,3,1,4,4,1,5
9/26/2019 1:00:47,10-20,Competitive,Diamond,Tank,Reinhardt,Bastion,Reinhardt,Sigma,Orisa,3,3,3,4,1,3,4,3,3,3,5,1,5,3,3,2,3,3,5,3,3,3,2,3,3,3,3,3,3,3,3,3,1,4,3,3,2,2,3,5,5,2,3,3,3,3,3,3,5,4,3,5,3,3,3,3,2,4,3,3,3,3,2,3,3,3,3,3,3,5,3,3,3,3,3,5,5,2,3,3,3,3,3,4,4,4,2,4,4,3,4,4,3
9/26/2019 1:07:46,5-10,Competitive,Grandmasters,"Damage, Tank",Reinhardt,Sigma,Doomfist,Mei,Pharah,3,3,2,3,2,3,4,2,4,4,4,1,4,4,3,4,2,3,4,4,3,4,2,4,4,3,2,3,3,3,2,4,1,3,1,2,1,1,4,2,2,3,4,3,2,3,2,3,4,3,3,2,2,3,2,3,2,2,3,3,1,4,3,1,1,4,3,5,2,2,2,1,2,1,4,5,5,2,4,3,3,2,1,5,4,4,1,4,2,3,4,3,3
9/26/2019 1:09:35,10-20,Quick Play,Diamond,Support,Mercy,Doomfist,Mercy,Symmetra,Ana,4,2,3,2,1,3,3,1,5,3,4,2,3,1,4,4,2,4,3,2,5,5,1,4,5,2,3,1,1,4,2,2,2,3,1,4,2,1,4,1,1,3,1,1,3,1,1,4,3,3,4,3,2,4,1,1,1,2,3,3,5,4,3,1,1,5,3,3,3,3,2,3,1,1,4,1,3,2,2,1,3,1,1,5,3,3,3,1,1,4,3,2,3
9/26/2019 2:25:33,5-10,Competitive,Diamond,"Support, Tank",Ana,Genji,Ana,Orisa,Baptiste,3,2,3,4,2,2,5,2,3,3,1,3,4,2,2,4,3,3,4,1,1,4,1,1,3,3,3,3,2,2,3,4,2,3,2,2,1,1,1,3,3,3,4,3,3,3,2,3,5,4,4,4,3,3,4,3,2,5,4,3,4,4,2,1,1,1,4,3,3,4,4,3,5,3,3,5,4,2,5,3,2,4,2,2,5,4,3,3,2,2,5,4,3
